都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,,2018.01.14修正
愛知県,"豊橋市,",排水路用地,"基準点,基準点","２級,,３級","1point,2point",助言H22.7.22E0070豊橋市,（株）あづま,"H22.6.29
H23.1.31",,
愛知県,"豊橋市,",用地測量,"基準点,基準点","２級,,３級","2point,2point",助言H22.7.22E0072豊橋市,（有）トランベル,"H22.6.29
H23.1.31",,
愛知県,"みよし市,",固定資産,"数値撮影,同時調整","地上画素寸法16cm,,","32.1KM2,32.1KM2",助言H22.7.23E0074愛知県　　みよし市,(株)パスコ,"H22.7.9
H23.3.25",,
愛知県,"豊山町,",都市計画,"数値撮影,数値図修正","地上画素寸法16cm,,2500","6.2KM2,6.2KM2",助言H22.7.23E0075愛知県　　豊山町,玉野総合コンサルタント(株),"H22.7.20
H23.3.15",,
愛知県,"豊山町,",下水道計画,"数値撮影,数値図修正,座標変換","地上画素寸法7cm,,500,,500","0.5KM2,0.5KM2,0.5KM2",助言H22.7.23E0076愛知県　　豊山町,玉野総合コンサルタント(株),"H22.7.20
H23.3.15",,
愛知県,"東海市,",都市計画,数値図修正,2500,43.4KM2,助言H22.7.23E0078愛知県　　東海市,アジア航測(株),"H22.5.17
H23.3.25",,
愛知県,"瀬戸市,",都市計画,数値図修正,2500,111.6KM2,助言H22.7.27E0083愛知県　　瀬戸市,アジア航測(株),"H22.5.28
H23.3.18",,
愛知県,"空白,",都市計画,"基準点,基準点","２級,,３級","2point,2point",助言H22.7.28E0082豊橋市,栄土地測量設計(株),"H22.6.15
H23.1.31",,
愛知県,"津島市,",道路台帳,"既成図数値化,座標変換","1000,,1000","475km,475km",助言H22.7.29E0086愛知県　　津島市,玉野総合コンサルタント(株),"H22.7.1
H23.3.31",,
愛知県,"豊橋市,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","2point,5point,0.2KM2",助言H22.8.5E0087高豊土地改良区,"愛知県土地改良事業団体
連合会","H22.8.9
H23.3.18",,
愛知県,"犬山市,扶桑町,江南市,小牧市,岩倉市,一宮市,稲沢市,北名古屋市,豊山町,春日井市,清須市,あま市,大治町,津島市,愛西市,蟹江町,弥富市,飛島村,豊橋市,田原市,",地盤変動調査,水準,１級,366km,助言H22.8.5E0088愛知県,(株)新日,"H22.8.9
H23.2.28",,
愛知県,"東海市,",道路管理,基準点,４級,1point,助言H22.8.5E0090中部地方整備局名古屋国道事務所名古屋国道維持第三出張所,（有）イースト,"H22.8.3
H22.10.10",,
愛知県,"一色町,吉良町,幡豆町,",道路台帳,"既成図数値化,座標変換","1000,,1000","38.8KM2,25KM2",助言H22.8.5E0091愛知県　　西尾市,中日本航空測量(株),"H22.7.5
H23.3.1",,
愛知県,"豊田市,",砂防計画,数値図化,2500,1.1KM2,助言H22.8.6E0096愛知県豊田加茂建設事務所,国際航業(株),"H21.9.3
H22.10.31",,
愛知県,"名古屋市,",復旧測量（名港原標移設）,水準,１級,1point,助言H22.8.13E0100名古屋港管理組合,(株)中部テック,"H22.8.26
H22.9.15",,
愛知県,"美浜町,",道路台帳,数値図修正,1000,40.9km,助言H22.8.25E0103愛知県　　美浜町,中日本航空測量(株),"H22.9.1
H23.2.28",,
愛知県,"長久手町,",都市計画,数値図修正,2500,21.5KM2,助言H22.8.25E0104愛知県　　長久手町,(株)中測技研,"H22.8.16
H23.3.4",,
愛知県,"名古屋市,",都市計画,"数値撮影,ディジタルオルソ,数値図修正","地上画素寸法20cm,,1000,,2500","326.4KM2,326.4KM2,326.4KM2",助言H22.8.25E0105愛知県　　名古屋市,"(株)パスコ
国際航業(株)","H22.8.2
H23.2.28",,
愛知県,"一宮市,春日井市,蒲郡市,大府市,知立市,尾張旭市,飛島村,南知多町,武豊町,豊根村,",総合計画,その他,2500,577KM2,助言H22.8.25E0106愛知県,玉野総合コンサルタント(株),"H22.4.28
H23.3.10",,
愛知県,"長久手町,",都市計画,基準点,３級,18point,助言H22.8.26E0111長久手町,(株)名邦テクノ,"H22.8.16
H22.12.17",,
愛知県,"長久手町,",都市計画,水準,３級,6.4km,助言H22.8.26E0112長久手町,(株)名邦テクノ,"H22.8.16
H22.12.17",,
愛知県,"蒲郡市,",土地区画整理,"基準点,基準点,基準点","２級,,３級,,４級","1point,8point,247point",助言H22.8.26E0114蒲郡市,(株)中建,"H22.8.16
H23.3.31",,
愛知県,"阿久比町,",道路台帳,数値図修正,500,0.2KM2,助言H22.8.27E0115愛知県　　阿久比町,中日本航空測量(株),"H22.8.27
H23.3.22",,
愛知県,"南知多町,","道路台帳,都市計画","既成図数値化,既成図数値化,座標変換","1000,,2500,,2500","303km,38.2KM2,38.2KM2",助言H22.9.3E0124愛知県　　南知多町,中日本航空測量(株),"H22.9.13
H23.3.18",,
愛知県,"高浜市,",固定資産,"数値撮影,同時調整","地上画素寸法16cm,,","13KM2,13KM2",助言H22.9.8E0126愛知県　　高浜市,(株)パスコ,"H22.11.1
H23.3.25",,
愛知県,"刈谷市,",都市計画,数値図修正,2500,3KM2,助言H22.9.15E0132愛知県　　刈谷市,アジア航測(株),"H22.5.17
H23.3.18",,
愛知県,"知多市,東海市,名古屋市,飛島村,弥富市,",地盤変動調査,水準,１級,105km,助言H22.9.15E0131名古屋港管理組合,未　定,"H22.10.1
H23.3.10",,
愛知県,"豊田市,",砂防計画,数値図化,2500,1.3KM2,助言H22.9.21E0133愛知県豊田加茂建設事務所,(株)アスコ,"H22.9.1
H23.3.18",,
愛知県,"豊田市,",砂防計画,数値図化,2500,3.8KM2,助言H22.9.21E0134愛知県豊田加茂建設事務所,(株)パスコ,"H22.10.1
H23.3.18",,
愛知県,"名古屋市,",その他（測量標移転）,"基準点,水準","１級,,１級","1point,1km",助言H22.9.22E0135名古屋市,三協調査設計(株),"H22.9.15
H22.10.10",,
愛知県,"大府市,",道路台帳,数値図修正,1000,0.4KM2,助言H22.10.1E0137愛知県　　大府市,アジア航測(株),"H22.9.21
H23.3.25",,
愛知県,"犬山市,",道路台帳,平板・修正,1000,0.7KM2,助言H22.10.1E0138愛知県　　犬山市,アジア航測(株),"H22.9.2
H23.3.18",,
愛知県,"碧南市,高浜市,",砂防計画,数値図化,2500,0.1KM2,助言H22.10.1E0139愛知県知立建設事務所,（株）カナエジオマチックス,"H22.10.1
H23.3.18",,
愛知県,"東郷町,",道路台帳,数値図修正,1000,0.1KM2,助言H22.10.1E0140愛知県　　東郷町,中日本航空測量(株),"H22.9.17
H23.3.15",,
愛知県,"名古屋市,春日井市,",河川管理,"基準点,基準点,水準","１級,,３級,,３級","18point,117point,2km",助言H22.10.1E0145中部地方整備局庄内川河川事務所,(株)大増コンサルタンツ,"H22.10.4
H22.12.17",,
愛知県,"東栄町,豊根村,",砂防計画,数値図化,2500,1.7KM2,助言H22.10.5E0146愛知県新城設楽建設事務所,中日本航空(株),"H22.8.26
H23.2.28",,
愛知県,"西尾市,",都市計画,基準点,３級,1point,助言H22.10.7E0151西尾市,中央コンサルタンツ(株),"H22.10.5
H23.3.11",,
愛知県,"知立市,",道路台帳,数値図修正,1000,0.3KM2,助言H22.10.18E0156愛知県　　知立市,中日本航空測量(株),"H22.10.15
H23.3.11",,
愛知県,"吉良町,",道路台帳,数値図修正,1000,12.1km,助言H22.10.18E0159愛知県　　吉良町,中日本航空測量(株),"H22.10.15
H23.2.28",,
愛知県,"豊田市,",砂防計画,数値図化,2500,3KM2,助言H22.10.18E0160愛知県豊田加茂建設事務所,アジア航測(株),"H22.6.18
H23.3.18",,
愛知県,"豊根村,",砂防計画,数値図化,2500,2.3KM2,助言H22.10.20E0162愛知県新城設楽建設事務所,アジア航測(株),"H22.7.15
H23.2.28",,
愛知県,"東浦町,",道路台帳,数値図修正,1000,0.1KM2,助言H22.10.25E0170愛知県　　東浦町,アジア航測(株),"H22.10.7
H23.3.10",,
愛知県,"江南市,",総合計画,"数値撮影,写真図","地上画素寸法14cm,,2500","30.2KM2,3KM2",助言H22.10.25E0171愛知県　　江南市,アジア航測(株),"H22.9.28
H23.3.31",,
愛知県,"豊田市,",土地改良,基準点,２級,5point,助言H22.10.25E0169愛知県豊田加茂農林水産事務所,"愛知県土地改良事業団体
連合会","H22.10.25
H23.3.15",,
愛知県,"名古屋市,",地盤変動調査,水準,１級,160km,助言H22.10.28E0178名古屋市,"(株)メイホーエンジニアリン
グ","H22.11.1
H23.3.4",,
愛知県,"新城市,",砂防計画,数値図化,2500,1.4KM2,助言H22.10.29E0176愛知県新城設楽建設事務所,(株)パスコ,"H22.7.15
H23.2.28",,
愛知県,"名古屋市,清須市,大治町,",地盤変動調査,水準,１級,"16km,",助言H22.10.29E0179中部地方整備局庄内川河川事務所,新晃コンサルタント(株),"H22.11.1
H23.3.8",,
愛知県,"豊田市,",道路台帳,"基準点,基準点,基準点,水準,カラー撮影,数値図修正","２級,,３級,,４級,,３級,,4000,,500","2point,3point,14point,1.9km,0.1KM2,0.1KM2",助言H22.11.8E0180中部地方整備局名四国道事務所,玉野総合コンサルタント(株),"H22.11.1
H23.2.28",,
愛知県,"みよし市,",道路台帳,数値図修正,500,0.4KM2,助言H22.11.8E0185愛知県　　みよし市,アジア航測(株),"H22.10.22
H23.3.18",,
愛知県,"常滑市,",道路台帳,地上数値法,1000,0.1KM2,助言H22.11.8E0192愛知県　　常滑市,中日本航空測量(株),"H22.11.15
H23.3.18",,
愛知県,"名古屋市,岡崎市,春日井市,刈谷市,安城市,知立市,清須市,弥富市,東郷町,扶桑町,",道路管理,"数値撮影,同時調整","地上画素寸法8cm,,","96KM2,96KM2",助言H22.11.8E0193中部地方整備局名古屋国道事務所,中日本航空(株),"H22.11.2
H23.2.18",,
愛知県県境岐阜県,"愛西市,稲沢市,一宮市,江南市,県境羽島市,笠松町,安八町,瑞穂市,養老町,大垣市,",地盤変動調査,水準,１級,92.2km,助言H22.11.8E0181中部地方整備局木曽川上流河川事務所,藤コンサル(株),"H22.11.1
H23.3.18",,
愛知県,"小牧市,",道路台帳,数値図修正,500,0.3KM2,助言H22.11.17E0200愛知県　　小牧市,アジア航測(株),"H22.11.15
H23.3.28",,
愛知県,"刈谷市,",固定資産,"数値撮影,同時調整","地上画素寸法9cm,,","50.5KM2,50.5KM2",助言H22.11.18E0201愛知県　　刈谷市,朝日航洋(株),"H22.12.1
H23.3.18",,
愛知県,"田原市,",大規模地震対策東部幹線併設水路伊良湖工区実施設計等業務,"基準点,数値図化,路線","３級,,500,,","9point,0.1KM2,1.6km",助言H22.11.22E0203独立行政法人水資源機構　豊川用水総合事業部,NTCコンサルタンツ(株),"H22.11.15
H23.3.10",,
愛知県,"豊橋市,刈谷市,安城市,西尾市,幸田町,",道路台帳,"数値撮影,基準点,基準点,水準,数値図化,数値図修正","地上画素寸法6cm,,３級,,４級,,３級,,500,,500","0.6KM2,2point,177point,1.5km,0.9KM2,0.2KM2",助言H22.11.22E0191中部地方整備局名四国道事務所,中日本航空(株),"H22.9.3
H23.3.10",,
愛知県,"長久手町,",固定資産,"数値撮影,同時調整","地上画素寸法12cm,,","21.5KM2,21.5KM2",助言H22.11.25E0212愛知県　　長久手町,玉野総合コンサルタント(株),"H22.11.20
H23.3.25",,
愛知県,"あま市,",道路台帳,数値図修正,1000,0.1KM2,助言H22.11.30E0213愛知県　　あま市,アジア航測(株),"H22.10.8
H23.3.6",,
愛知県,"岡崎市,",固定資産,カラー撮影,8000,387.2KM2,助言H22.11.30E0215愛知県　　岡崎市,アジア航測(株),"H22.12.1
H23.3.10",,
愛知県,"飛島村,名古屋市,大治町,岡崎市,",道路計画,"基準点,基準点,基準点,地上数値法,路線","２級,,３級,,４級,,500,,","2point,1point,31point,0.1KM2,0.8km",助言H22.11.25E0210中部地方整備局愛知国道事務所,(株)パスコ,"H22.11.18
H23.3.30",,
愛知県,"日進市,",総合計画,基準点,３級,2point,助言H22.12.2E0218日進市,(株)パスコ,"H22.12.6
H23.1.25",,
愛知県,"碧南市,",総合計画,"数値撮影,同時調整","地上画素寸法10cm,,","35.9KM2,35.9KM2",助言H22.12.8E0225愛知県　　碧南市,アジア航測(株),"H22.12.10
H23.3.31",,
愛知県,"豊川市,",総合計画,"数値撮影,同時調整","地上画素寸法12cm,,","160.8KM2,160.8KM2",助言H22.12.8E0226愛知県　　豊川市,アジア航測(株),"H22.12.20
H23.3.28",,
愛知県,"江南市,",道路台帳,数値図修正,1000,0.4KM2,助言H22.12.8E0227愛知県　　江南市,アジア航測(株),"H22.12.1
H23.3.18",,
愛知県,"知多市,",道路台帳,数値図修正,1000,0.1KM2,助言H22.12.13E0233愛知県　　知多市,アジア航測(株),"H22.12.1
H23.3.25",,
愛知県,"豊田市,",土地区画整理,"基準点,地上数値法","４級,,500","165point,0.4KM2",助言H22.12.13E0234愛知県　　豊田市,中央コンサルタンツ(株),"H22.12.15
H23.3.18",,
愛知県,"みよし市,",都市計画,数値図修正,2500,1.1KM2,助言H22.12.13E0235愛知県　　みよし市,(株)パスコ,"H22.12.16
H23.3.30",,
愛知県,"豊明市,",土地区画整理,"基準点,基準点","３級,,４級","1point,27point",助言H22.12.15E0239豊明市,"愛知県経済農業協同組合
連合会","H22.11.5
H23.2.28",,
愛知県,"西尾市,一色町,吉良町,幡豆町,",固定資産,"数値撮影,ディジタルオルソ","地上画素寸法9.6cm,,1000","160.3KM2,160.3KM2",助言H22.12.17E0244愛知県　　西尾市,国際航業(株),"H22.11.30
H23.3.18",,
愛知県,"刈谷市,",その他（基準点の復旧）,基準点,３級,3point,助言H22.12.20E0245刈谷市,(株)梶川土木コンサルタント,"H22.12.17
H22.12.17",,
愛知県,"一宮市,",その他（基準点の復旧）,"基準点,基準点","２級,,３級","1point,5point",助言H23.1.4E0251一宮市,(株)アルファ日産,"H22.11.20
H23.3.22",,
愛知県,"大治町,",都市計画,"数値撮影,同時調整","地上画素寸法16cm,,","6.6KM2,6.6KM2",助言H23.1.6E0255愛知県　　大治町,(株)パスコ,"H22.12.17
H23.3.25",,
愛知県,"刈谷市,",総合計画,基準点,３級,1point,助言H23.1.11E0258刈谷市,司開発(株),"H23.1.15
H23.3.10",,
愛知県,"豊橋市,",総合計画,"基準点,基準点","２級,,３級","1point,11point",助言H23.1.11E0265豊橋市,(株)共和測量設計,"H23.1.7
H23.3.15",,
愛知県,"豊川市,",道路台帳,"地上数値法,地上数値法,座標変換,座標変換","500,,1000,,500,,1000","0.1KM2,0.6KM2,2.8KM2,7.1KM2",助言H23.1.11E0261愛知県　　豊川市,アジア航測(株),"H22.12.9
H23.3.25",,
愛知県,"瀬戸市,",道路台帳,平板・修正,500,0.3KM2,助言H23.1.11E0262愛知県　　瀬戸市,アジア航測(株),"H23.1.5
H23.3.18",,
愛知県,"碧南市,",道路台帳,平板・修正,500,0.1KM2,助言H23.1.11E0263愛知県　　碧南市,アジア航測(株),"H22.12.10
H23.3.25",,
愛知県,"長久手町,",土地区画整理,"基準点,基準点","２級,,３級","2point,11point",助言H23.1.12E0266長久手町,(株)協和コンサルタンツ,"H23.1.5
H23.3.25",,
愛知県,"安城市,",道路台帳,数値図修正,1000,0.2KM2,助言H23.1.13E0268愛知県　　安城市,アジア航測(株),"H23.1.5
H23.3.25",,
愛知県,"刈谷市,",道路台帳,数値図修正,500,0.2KM2,助言H23.1.17E0269愛知県　　刈谷市,アジア航測(株),"H23.1.5
H23.3.29",,
愛知県,"東海市,",道路台帳,数値図修正,500,0.2KM2,助言H23.1.18E0275愛知県　　東海市,アジア航測(株),"H23.1.5
H23.3.31",,
愛知県,"豊橋市,豊川市,",河川管理,水準,３級,9.3km,助言H23.1.24E0277中部地方整備局豊橋河川事務所,(株)パスコ,"H23.1.6
H23.3.25",,
愛知県,"江南市,",土地区画整理,基準点,３級,3point,助言H23.1.24E0280江南市,中央コンサルタンツ(株),"H23.1.18
H23.3.18",,
愛知県,"新城市,",道路台帳,平板・修正,1000,0.2KM2,助言H23.1.28E0285愛知県　　新城市,アジア航測(株),"H23.1.5
H23.3.13",,
愛知県,"日進市,",総合計画,基準点,１級,1point,助言H23.2.3E0289日進市,(株)パスコ,"H23.2.1
H23.3.26",,
愛知県,"名古屋市,",総合計画,水準,１級,19km,助言H23.2.4E0291名古屋市,未　定,"H23.2.1
H23.3.31",,
愛知県,"名古屋市,",総合計画,基準点,３級,2point,助言H23.2.4E0292名古屋市,未　定,"H23.2.1
H23.3.31",,
愛知県,"稲沢市,",ほ場整備,基準点,２級,4point,助言H23.2.21E0295稲沢市土地改良区,(株)名邦テクノ,"H23.2.21
H23.3.31",,
愛知県,"豊田市,",総合計画,"基準点,基準点","２級,,３級","2point,3point",助言H23.2.23E0302豊田市,(株)ユニオン,"H23.1.20
H23.3.25",,
愛知県,"刈谷市,",総合計画（復旧測量）,基準点,３級,1point,助言H23.2.21E0303刈谷市,(株)神田設計,"H23.2.5
H23.3.31",,
愛知県,"岡崎市,",砂防計画,基準点,１級,1point,助言H23.2.21E0305愛知県西三河建設事務所,(株)梶川土木コンサルタント,"H23.2.14
H23.3.22",,
愛知県,"名古屋市,岡崎市,春日井市,犬山市,小牧市,大口町,扶桑町,蟹江町,",道路計画,"数値撮影,数値撮影,同時調整","地上画素寸法7.2cm,,地上画素寸法12.0cm,,1000","27KM2,11.5KM2,3.3KM2",助言H23.2.17E0306中部地方整備局愛知国道事務所,朝日航洋(株),"H23.2.5
H23.3.30",,
愛知県,"岡崎市,豊田市,",河川管理,"基準点,基準点,基準点","１級,,２級,,３級","2point,2point,35point",助言H23.2.21E0307中部地方整備局　豊橋河川事務所,(株)葵設計事務所,"H23.2.21
H23.3.31",,
愛知県,"名古屋市,安城市,春日井市,",その他（道路管理）,基準点,４級,92point,助言H23.3.3E0326中部地方整備局名古屋国道事務所,新晃コンサルタント(株),"H23.3.1
H23.3.25",,
愛知県,"田原市,",道路計画,基準点,３級,2point,助言H23.3.8E0330田原市,藤コンサル(株),"H23.3.7
H23.3.25",,
愛知県,"西尾市,",道路台帳,数値図修正,1000,1.2KM2,助言H23.3.8E0331愛知県　　西尾市,(株)協和コンサルタンツ,"H23.2.1
H23.3.31",,
愛知県,"大口町,",その他（復旧測量）,基準点,３級,1point,助言H23.3.9E0334中部地方整備局名古屋国道事務所名古屋国道維持第二出張所,三協調査設計(株),"H23.3.10
H23.3.31",,
愛知県,"一宮市,",総合計画,基準点,３級,1point,助言H23.3.9E0336一宮市,(株)三愛設計,"H23.2.18
H23.3.30",,
愛知県,"刈谷市,",総合計画（基準点の復旧）,基準点,３級,1point,助言H23.3.22E0337刈谷市,(株)梶川土木コンサルタント,"H23.3.16
H23.3.28",,
愛知県,"刈谷市,",総合計画,基準点,３級,2point,助言H23.3.25E0340刈谷市,司開発(株),"H23.4.1
H23.5.15",,
愛知県,"名古屋市,",土地区画整理,基準点,４級,25point,助言H22.4.90003名古屋市明願土地区画整理組合,未定,"H22.4.8
H27.3.31",,
愛知県,"常滑市,",土地区画整理,基準点,４級,42point,助言H22.4.270010常滑多屋土地区画整理組合,"愛知県経済農業協同組合
連合会","H22.4.26
H22.7.30",,
愛知県,"蒲郡市,",土地改良,基準点,２級,3point,助言H22.6.30039蒲郡市土地改良区,"愛知県土地改良事業団体
連合会","H22.6.7
H23.1.20",,
愛知県,"蟹江町,",道路台帳,"既成図数値化,座標変換","1000,,1000","11.1KM2,11.1KM2",助言H22.7.120058愛知県　　蟹江町,玉野総合コンサルタント(株),"H22.6.2
H23.2.28",,
愛知県,"岡崎市,",砂防計画,数値図化,2500,1.3KM2,助言H22.7.120061愛知県西三河建設事務所,国際航業(株),"H21.8.6
H22.7.30",,
愛知県,"幸田町,",ほ場整備,基準点,３級,4point,助言H22.7.130062幸田土地改良区,リード測量設計（株）,"H22.8.1
H23.6.30",,
愛知県,"知立市,",道路計画,基準点,４級,8point,助言H22.7.280084愛知県知立建設事務所,"中日本建設コンサルタント
(株)","H22.7.15
H22.11.30",,
愛知県,"豊田市,",砂防計画,数値図化,2500,1.4KM2,助言H22.8.60095愛知県豊田加茂建設事務所,国際航業(株),"H22.6.18
H23.3.18",,
愛知県,"犬山市,",砂防計画,数値図化,2500,0.4KM2,助言H22.9.20120愛知県一宮建設事務所,（株）カナエジオマチックス,"H22.8.25
H23.2.28",,
愛知県,"名古屋市,瀬戸市,",砂防計画,数値図化,2500,4KM2,助言H22.10.10143愛知県尾張建設事務所,中日本航空(株),"H22.7.12
H23.3.18",,
愛知県,"名古屋市,",道路台帳,平板・修正,500,0.2KM2,助言H22.10.50149愛知県　　名古屋市,東栄測量設計(株),"H22.10.5
H23.2.11",,
愛知県,"豊田市,",砂防計画,数値図化,2500,1.3KM2,助言H22.10.140155愛知県豊田加茂建設事務所,朝日航洋(株),"H22.11.1
H23.3.18",,
愛知県,"東海市,大府市,知多市,常滑市,半田市,阿久比町,美浜町,南知多町,",砂防計画,数値図化,2500,1.1KM2,助言H22.11.80184愛知県知多建設事務所,応用地質(株),"H22.11.15
H23.2.28",,
愛知県,"設楽町,",砂防計画,数値図化,2500,0.5KM2,助言H22.11.220206愛知県新城設楽建設事務所,応用地質(株),"H22.6.24
H22.12.20",,
愛知県,"安城市,",総合計画,"数値撮影,ディジタルオルソ","地上画素寸法10cm,,2500","86KM2,86KM2",助言H22.11.300216愛知県　　安城市,アジア航測(株),"H22.12.20
H23.3.15",,
愛知県,"西尾市,吉良町,幡豆町,一色町,",都市計画,数値図修正,2500,160KM2,助言H22.12.20219愛知県　　西尾市,国際航業(株),"H22.11.24
H23.3.8",,
愛知県,"清須市,",道路台帳,"数値図化,数値図修正","1000,,1000","4.9KM2,0.3KM2",助言H22.12.100232愛知県　　清須市,玉野総合コンサルタント(株),"H22.10.28
H23.3.25",,
愛知県,"瀬戸市,",法第14条第1項地図作成,基準点,４級,200point,助言H22.12.100228法務省名古屋法務局,平井測量登記事務所,"H22.11.1
H24.3.31",,
愛知県,"大府市,南知多町,美浜町,",砂防計画,数値図化,2500,0.7KM2,助言H22.12.150243愛知県知多建設事務所,朝日航洋(株),"H22.12.24
H23.3.18",,
愛知県,"稲沢市,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","5point,15point,0.3KM2",助言H22.12.150240愛知県尾張農林水産事務所,"愛知県土地改良事業団体
連合会","H22.12.24
H23.3.15",,
愛知県,"豊明市,",固定資産総合計画,"数値撮影,ディジタルオルソ,基準点,基準点,水準","地上画素寸法10cm,,500,,２級,,３級,,２級","23.2KM2,23.2KM2,5point,7point,20.6km",助言H23.1.110260愛知県　　豊明市,"(株)ナカノアイシステム
三重測量(株)","H22.10.1
H23.3.28",,
愛知県,"小牧市,春日井市,尾張旭市,長久手町,",道路台帳,"既成図数値化,数値図修正","500,,500","18.4KM2,18.4KM2",助言H23.2.20287愛知県尾張建設事務所,(株)アスコ,"H22.12.17
H23.3.18",,
愛知県,"名古屋市,",総合計画,基準点,３級,1point,助言H23.2.40293名古屋市,未定,"H23.2.7
H23.3.31",,
愛知県,"豊橋市,田原市,",海岸保全,"数値撮影,同時調整","地上画素寸法12.0cm,,1000","31.5KM2,31.5KM2",助言H23.2.90297愛知県東三河建設事務所,国際航業(株),"H23.1.24
H23.3.30",,
愛知県,"北名古屋市,",道路台帳,"座標変換,座標変換,既成図数値化,既成図数値化","500,,1000,,500,,1000","3.4KM2,5.2KM2,3.4KM2,5.2KM2",助言H23.2.100300愛知県　　北名古屋市,玉野総合コンサルタント(株),"H22.6.26
H23.3.12",,
愛知県,"東浦町,",土地区画整理,"基準点,水準","４級,,３級","11point,2.6km",助言H23.2.250311東浦取手土地区画整理組合設立準備委員会,"愛知県経済農業協同組合
連合会","H23.2.28
H23.3.25",,
愛知県,"名古屋市,",総合計画,基準点,２級,1point,助言H23.3.10321名古屋市,(株)伸和,"H23.2.25
H23.3.31",,
三重県,"名張市,",道路計画,"基準点,基準点","３級,,４級","19point,187point",助言H22.4.27E0011三重県伊賀建設事務所,正和測量設計(株),"H22.4.19
H22.11.8",,
三重県,"四日市市,",総合計画,"基準点,基準点","２級,,３級","2point,3point",助言H22.5.11E0021四日市市,（株）長工プラスデザイン,"H22.4.28
H22.6.14",,
三重県,"四日市市,",道路計画,"基準点,基準点,基準点,水準,座標補正","２級,,３級,,４級,,２級,,２級","2point,7point,23.5KM2,23km,11point",助言H22.5.25E0028中日本高速道路（株）　名古屋,(株)三愛設計,"H22.5.10
H22.12.31",,
三重県,"四日市市,",総合計画,基準点,３級,1point,助言H22.6.3E0040四日市市,"コムワークスエンジニアリン
グ（株）","H22.7.1
H22.7.31",,
三重県,"鈴鹿市,",総合計画,基準点,３級,1point,助言H22.6.21E0049鈴鹿市,"コムワークスエンジニアリン
グ（株）","H22.7.1
H22.7.31",,
三重県,"桑名市,",土地区画整理,"基準点,基準点","３級,,４級","5point,25point",助言H22.7.13E0065桑名市城山土地区画整理組合,(株)新日,"H22.7.20
H22.10.31",,
三重県,"いなべ市,",文化財調査,基準点,２級,2point,助言H22.7.15E0067いなべ市教育委員会　教育長,(株)信榮企画,"H22.7.1
H22.7.31",,
三重県,"鈴鹿市,",道路計画,"基準点,基準点","２級,,３級","4point,8point",助言H22.7.22E0071三重県鈴鹿建設事務所,三重測量設計(株),"H22.7.14
H22.10.25",,
三重県,"空白,",砂防計画,基準点,３級,2point,助言H22.7.28E0085三重県桑名建設事務所,(株)三重新成コンサルタント,"H22.6.28
H22.11.24",,
三重県,"いなべ市,",砂防計画,"基準点,基準点","２級,,３級","1point,1point",助言H22.8.5E0089三重県桑名建設事務所,(株)若鈴,"H22.6.28
H22.10.5",,
三重県,"鈴鹿市,",土地区画整理,"基準点,水準","４級,,３級","24point,4.1km",助言H22.8.5E0093独立行政法人都市再生機構中部支社,(株)石田技術コンサルタンツ,"H22.9.15
H22.12.15",,
三重県,"明和町,",海岸保全,"基準点,基準点","１級,,３級","3point,3point",助言H22.8.6E0094三重県伊勢農林水産商工環境事務所,"（株）石原ソフトエンジニアリ
ング","H22.8.2
H22.9.28",,
三重県,"御浜町,",土地改良,"基準点,基準点","３級,,４級","3point,5point",助言H22.8.26E0107御浜町,"三重県土地改良事業団体
連合会","H22.7.20
H23.3.31",,
三重県,"四日市市,",総合計画,基準点,２級,1point,助言H22.8.26E0110四日市市,三重測量設計(株),"H22.8.12
H22.10.29",,
三重県,"多気町,",道路台帳,数値図修正,1000,2KM2,助言H22.8.27E0118三重県　　多気町,アジア航測(株),"H22.8.1
H23.2.28",,
三重県,"津市,",道路計画,"基準点,基準点","２級,,３級","2point,2point",助言H22.9.22E0136津市,(株)三重新成コンサルタント,"H22.9.21
H22.10.27",,
三重県,"伊賀市,名張市,",砂防計画,数値図化,2500,15.6KM2,助言H22.10.1E0142三重県伊賀建設事務所,アジア航測(株),"H22.9.27
H23.3.25",,
三重県,"木曽岬町,桑名市,川越町,朝日町,四日市市,",地盤変動調査,水準,１級,"113km,,",助言H22.10.12E0154三重県,(株)北斗エス・イー・シー,"H22.10.1
H23.3.18",,
三重県,"いなべ市,",砂防計画,"基準点,基準点","３級,,４級","4point,32point",助言H22.10.18E0158三重県桑名建設事務所,(株)川崎測量,"H22.9.27
H22.12.25",,
三重県,"尾鷲市,",砂防計画,数値図化,2500,6.4KM2,助言H22.10.18E0157三重県尾鷲建設事務所,国際航業(株),"H22.10.12
H23.3.25",,
三重県,"いなべ市,",砂防計画,"基準点,基準点","３級,,４級","2point,54point",助言H22.10.25E0168三重県桑名建設事務所,（株）川崎測量,"H22.9.27
H22.12.2",,
三重県県境奈良県,"名張市,県境奈良市,宇陀市,山添村,",河川管理,数値撮影,地上画素寸法20cm,364.58KM2,助言H22.10.27E0174独立行政法人水資源機構木津川ダム総合管理所,(株)ウエスコ,"H22.10.15
H23.3.31",,
